,Strategy_A,Strategy_B,Strategy_C,Strategy_D,Strategy_E,Strategy_F,Strategy_G,Strategy_H,Strategy_I,Strategy_J
2019-01-02,0.0036270176746633345,-0.005954883487610506,0.006586337902228526,0.007571036991710045,-0.01382083108912416,-0.00919645138390522,0.0014875381081443696,-0.001735306163032677,-0.0009827623814752623,-0.006699164202007693
2019-01-03,0.009274450678034358,0.007735968572441133,0.004016773456046911,0.009978905111670293,0.008821404625368331,-0.00264850398893887,0.002834950709068457,-0.006257455568444242,0.007303099640356066,0.002766544463410144
2019-01-04,-0.0011841168686925565,-0.004549911910980336,0.010350632492203868,-0.0003350083341987117,-0.0038969366748056477,-0.00259027223725044,0.004483991382300921,0.004994752578408444,0.0026969856540049564,0.003979789509315429
2019-01-07,0.021678674060236155,0.002342890123734561,-0.00038169963736720306,-0.004194355635487874,0.004458219526949979,0.008614334249158445,-0.0008358560214219105,-0.007438989115738216,-0.0053775179555104165,0.0038923461281587836
2019-01-08,0.007936555131940977,0.005835264236777767,-0.0030196050737038194,0.002837277676433103,0.0031076255713300273,0.0026745094183400287,0.006529632293768156,0.004569831842705048,0.005542956735993653,0.002871015684705047
2019-01-09,0.0034737380727674,0.0054606432756514256,-0.010736068004156182,-0.0018920283239224583,-0.003494403261056186,-0.005150879683017485,-0.0012688349292726238,0.010735743640010401,-0.006931997593383908,0.004796390415707448
2019-01-10,-0.0159051499631304,-0.005406620963522854,-0.0012997612411544558,0.0035931996290054146,0.005676225890885932,0.005865838186065073,-0.0006235482734609948,-0.0025438710252682455,0.007798479795815692,0.0023707586250367057
2019-01-11,-0.01190372714952322,-0.009998877986622924,-0.011202218775895428,0.002241838543781112,-0.00044327662647996344,0.003836383887618881,-0.0010895789270483694,0.0019743454055319715,0.0056499299659766074,0.0005641930678554822
2019-01-14,0.005121304793163023,-0.0030373843838501433,-0.0024820740080473878,-0.0023443315350957254,-0.010724643840847503,0.0018185230938216885,-0.002602208368617513,-0.0010801554442236689,0.0030726003356757237,0.004113788343899964
2019-01-15,0.007171329916127928,0.001271919768696912,-0.0018787542141042875,0.00028546829316429355,-0.012932405134012528,-0.011110809150452509,-0.008880470616011818,-0.011938406770043514,0.0014036042419795962,-0.006856034401239442
2019-01-16,-0.003083692589142672,0.008598807846316872,-0.0013183036797969412,0.006268809790407121,-0.0037434005441640164,-0.000809859378144319,-0.005891525584283909,-0.005129504301329678,0.006312221491648808,-0.010069259068164915
2019-01-17,0.0049016539734241995,0.003077635466023375,-0.0033617709746488447,-0.009759537471356813,-0.001875485412482936,-0.005011301965731703,0.002111362348577993,0.0010238864047304153,0.010601724432396547,0.0009222957328479855
2019-01-18,-0.009425448268512621,-0.0004637889582026786,0.0011005716862013543,0.010025721655589882,0.009843946658405784,0.004751149665187702,0.011609450185112065,-0.0027286038469490144,-0.002734542554875721,-0.0056903161378293165
2019-01-21,-0.0031981509948739288,-0.00975776376674627,0.0038459497931425304,-0.0016655181751094373,-0.013874314981430203,-0.009011640567108573,0.003175457396737495,0.008156458926131892,0.013235738945749627,0.024113234913117097
2019-01-22,0.004704972802053259,-0.005372979934995079,-0.018651798720077564,0.0012528475457493297,-0.00751710714130369,-0.004279073511986044,-0.003199349133809557,-0.002122588564314802,0.0075512703984946155,0.0035014356481545316
2019-01-23,-0.0009263769645983614,-0.006923462405559815,-0.01571343304969127,-0.004453663526874011,-0.0035734244549294925,0.010239471362293884,0.002312494455474791,0.009265162836556004,-0.0028293360397909887,-0.008390924497870534
2019-01-24,-0.0088517363766281,-0.006534345445727651,0.016882085041270298,-0.005321193567138655,0.004337579074074895,-0.006166479678262814,0.007537172831414495,0.006846479101695175,-0.001541337026202922,-0.0007015353292575548
2019-01-25,-0.0058021089595936114,0.002158261037055847,-0.003840860074600975,-0.00876827730973928,-0.012668004197984112,-0.001764344131534904,0.011909092908063669,0.007075848951723316,-0.0021850877075744665,0.0007759082313738945
